Product_URL,Product_Name,Product_Price,Product_Rating,Product_Reviews
https://www.amazon.in/AirCase-C32-Multi-Function-Laptop-Backpack/dp/B07P24DS13/ref=sr_1_208?crid=2M096C61O4MLT&keywords=bags&qid=1697718953&sprefix=ba%2Caps%2C283&sr=8-208,"AirCase Casual Backpack fits upto 15.6"" Laptop, Easy to clean, Lightweight Canvas Spacious Bag for Office/Travel/College, Men & Women, Black",499,4.0 out of 5 stars,239
https://www.amazon.in/Lavie-Womens-Closure-Satchel-Handbag_Chocolate/dp/B07DJ9Q1NY/ref=sr_1_209?crid=2M096C61O4MLT&keywords=bags&qid=1697718953&sprefix=ba%2Caps%2C283&sr=8-209,Lavie Women's Ficus Satchel Bag | Ladies Purse Handbag,"1,599",4.1 out of 5 stars,"4,612"
https://www.amazon.in/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07MMZPB41/ref=sr_1_210?crid=2M096C61O4MLT&keywords=bags&qid=1697718953&sprefix=ba%2Caps%2C283&sr=8-210,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Navy Blue, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,560",4.4 out of 5 stars,"2,025"
https://www.amazon.in/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1697718953&sprefix=ba%2Caps%2C283&sr=8-211,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty",798,3.8 out of 5 stars,"1,380"
https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1697718953&sprefix=ba%2Caps%2C283&sr=8-212,"Safari Seek 32 Ltrs Large Overnighter Travel Laptop Backpack, Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure- Black","2,099",4.4 out of 5 stars,314
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTIyOTYwOTUzNDE0NjU2OjE2OTc3MTg5NTM6c3BfYnRmOjMwMDA3MTgyMTA3ODczMjo6MDo6&url=%2FHEROZ-Harbour-Backpack-Resistant-Notebook%2Fdp%2FB07M82PCTB%2Fref%3Dsr_1_213_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718953%26sprefix%3Dba%252Caps%252C283%26sr%3D8-213-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Harbour Unisex Nylon 28 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Red),672,4.1 out of 5 stars,"6,043"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTIyOTYwOTUzNDE0NjU2OjE2OTc3MTg5NTM6c3BfYnRmOjIwMTUzNDg4NTc4Njk4OjowOjo&url=%2FRed-Lemon-Hawkeye-Functional-Backpack%2Fdp%2FB09ZYNCKQ7%2Fref%3Dsr_1_214_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718953%26sprefix%3Dba%252Caps%252C283%26sr%3D8-214-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Red Lemon Bange Hawkeye Multi Functional Water Proof Anti Theft 15.6 inch Laptop Backpack for Men and Women,"3,797",3.8 out of 5 stars,71
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzIxMzI3OTU5MjE0NjU2OjE2OTc3MTg5ODk6c3BfYXRmX25leHQ6MjAxNTQwNjQ1MjY3OTg6OjA6Og&url=%2FCLOWNFISH-Techtrek-Leather-Litres-Backpack%2Fdp%2FB0BYK8MHZW%2Fref%3Dsr_1_209_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718989%26sprefix%3Dba%252Caps%252C283%26sr%3D8-209-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,THE CLOWNFISH Vegan Leather Mature Unisex Laptop Backpack,"1,149",4.2 out of 5 stars,730
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzIxMzI3OTU5MjE0NjU2OjE2OTc3MTg5ODk6c3BfYXRmX25leHQ6MzAwMDY3ODg3NDE2MjMyOjowOjo&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_210_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718989%26sprefix%3Dba%252Caps%252C283%26sr%3D8-210-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,"1,009",4.4 out of 5 stars,138
https://www.amazon.in/American-Tourister-FS0-41-002/dp/B07S13B1HR/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-211,American Tourister Spin 49 cms Navy Laptop Backpack,"1,099",4.1 out of 5 stars,"1,234"
